center_of_mass,density,diagonal_inertia,kinematic_enabled,mass,name,physx_angular_damping,physx_disable_gravity,physx_linear_damping,physx_max_angular_velocity,physx_max_depenetration_velocity,physx_max_linear_velocity,physx_retain_accelerations,prim_path,principal_axes,rigid_body_enabled,starts_asleep
"(-0.000076, 0.004114, 0.169494)",0.0,"(0.29322162, 0.33943355, 0.10599176)",False,24.605955123901367,base_link,,,,,,,,/humanoid/base_link,"(0.99999994, 0.00027432447, -0.00045654693, -0.000018753492)",True,False
"(0.000151, -0.027103, 0.108035)",0.0,"(0.026481045, 0.030255308, 0.020253321)",False,5.418532848358154,Head_1,,,,,,,,/humanoid/Head_1,"(0.99489355, 0.099540666, -0.0030557322, -0.01640739)",True,False
"(-0.000011, 0.000596, -0.058808)",0.0,"(0.027139302, 0.026631188, 0.026876772)",False,11.378521919250488,Hip_1,,,,,,,,/humanoid/Hip_1,"(0.9617772, 0.27375987, 0.0060962755, -0.0017154982)",True,False
"(-0.004816, 0.005207, 0.039737)",0.0,"(0.003166058, 0.0023624029, 0.003973827)",False,1.5031001567840576,HipYoke_Left_1,,,,,,,,/humanoid/HipYoke_Left_1,"(0.9232448, 0.09187326, 0.29813272, 0.22426632)",True,False
"(-0.059997, 0.00019, 0.026183)",0.0,"(0.007447516, 0.02106113, 0.022004332)",False,4.712777614593506,UpperThigh_Left_1,,,,,,,,/humanoid/UpperThigh_Left_1,"(0.99954325, 0.011741209, -0.027844442, 0.0005327064)",True,False
"(-0.001374, 0.013296, 0.172299)",0.0,"(0.04440003, 0.040569637, 0.010518571)",False,6.694424152374268,LowerThigh_Left_1,,,,,,,,/humanoid/LowerThigh_Left_1,"(0.99611044, -0.073529884, -0.047044646, 0.012009856)",True,False
"(0.026538, 0.097333, 0.018491)",0.0,"(0.03761569, 0.007685974, 0.03723223)",False,3.752577304840088,Shin_Left_1,,,,,,,,/humanoid/Shin_Left_1,"(0.99688435, 0.027677583, -0.0729912, -0.011310307)",True,False
"(0.020716, 0.037414, 0.011697)",0.0,"(0.0015205579, 0.009250731, 0.008840976)",False,2.7571609020233154,Foot_Left_1,,,,,,,,/humanoid/Foot_Left_1,"(0.995612, -0.09004864, -0.0038146058, 0.025168845)",True,False
"(-0.004816, -0.005207, 0.039737)",0.0,"(0.0031660525, 0.0023624008, 0.003973826)",False,1.5030982494354248,HipYoke_Right_1,,,,,,,,/humanoid/HipYoke_Right_1,"(0.9232451, -0.091872536, 0.29813284, -0.22426535)",True,False
"(-0.059997, -0.000236, 0.026183)",0.0,"(0.0074481713, 0.021061774, 0.022004219)",False,4.712741374969482,UpperThigh_Right_1,,,,,,,,/humanoid/UpperThigh_Right_1,"(0.9995436, -0.011701101, -0.027850607, -0.0001572351)",True,False
"(0.001374, 0.013296, 0.172299)",0.0,"(0.044400077, 0.040569715, 0.010518595)",False,6.694427490234375,LowerThigh_Right_1,,,,,,,,/humanoid/LowerThigh_Right_1,"(0.99611044, -0.073530294, 0.047044486, -0.012009238)",True,False
"(-0.026537, 0.097333, 0.018491)",0.0,"(0.03761643, 0.007686762, 0.03723287)",False,3.752596616744995,Shin_Right_1,,,,,,,,/humanoid/Shin_Right_1,"(0.9968877, 0.027677655, 0.072945766, 0.011312773)",True,False
"(-0.020716, 0.037414, 0.011697)",0.0,"(0.0015205566, 0.00925073, 0.008840975)",False,2.7571609020233154,Foot_Right_1,,,,,,,,/humanoid/Foot_Right_1,"(0.995612, -0.09004864, 0.0038148016, -0.025168763)",True,False
"(0.003158, 0.007738, 0.047379)",0.0,"(0.004064778, 0.003045906, 0.0040765945)",False,1.644554615020752,Shoulder_Left_1,,,,,,,,/humanoid/Shoulder_Left_1,"(0.950359, 0.27750733, 0.13463499, 0.040999632)",True,False
"(-0.050288, -0.006673, -0.031413)",0.0,"(0.0027518414, 0.0066930423, 0.00723428)",False,1.4544082880020142,UpBicep_Left_1,,,,,,,,/humanoid/UpBicep_Left_1,"(0.9984879, -0.012694145, 0.012382743, 0.052035075)",True,False
"(0.003245, 0.002838, 0.05957)",0.0,"(0.0038093692, 0.0035719988, 0.0019150212)",False,1.3472907543182373,LowBicep_Left_1,,,,,,,,/humanoid/LowBicep_Left_1,"(0.998383, -0.053912997, -0.010345492, 0.014757226)",True,False
